"Story","Title","Result","Date","Stability","Duration (s)"
"Testing todoist API for Delete a Label endpoint","Delete a label with invalid id","FAILURE","2023-01-20T13:01:33.353+07:00[Asia/Bangkok]","0.0","0.95"
"Testing todoist API for Remove Shared Label endpoint","Remove Shared Label with invalid label","FAILURE","2023-01-20T13:01:40.642+07:00[Asia/Bangkok]","0.0","0.5"
"Testing Todoist API for Rename Shared Label Endpoint","Rename shared label with invalid label","FAILURE","2023-01-20T13:01:42.924+07:00[Asia/Bangkok]","0.0","1.03"
