"Story","Title","Result","Date","Stability","Duration (s)"
"Get a comment","Get a comment with valid parameter","SUCCESS","2023-01-20T16:37:48.513+07:00[Asia/Bangkok]","0.0","1.01"
"Get a comment","Get a comment with invalid parameter","SUCCESS","2023-01-20T16:37:49.525+07:00[Asia/Bangkok]","0.0","0.88"
"Get a comment","Get a comment without parameter","SUCCESS","2023-01-20T16:37:50.412+07:00[Asia/Bangkok]","0.0","1.37"
"Get a comment","Get a comment without authentication","SUCCESS","2023-01-20T16:37:51.791+07:00[Asia/Bangkok]","0.0","0.92"
"Get a comment","Get a comments with invalid path","SUCCESS","2023-01-20T16:37:52.717+07:00[Asia/Bangkok]","0.0","0.91"
