"Story","Title","Result","Date","Stability","Duration (s)"
"Delete a comment","Delete a comment with invalid id","FAILURE","2023-01-20T16:37:40.029+07:00[Asia/Bangkok]","0.0","0.96"
"Delete a comment","Delete a comment with unregistered id","FAILURE","2023-01-20T16:37:41.507+07:00[Asia/Bangkok]","0.0","0.92"
