"Story","Title","Result","Date","Stability","Duration (s)"
"Close a task","Close a task with valid id","SUCCESS","2023-01-20T15:11:32.026+07:00[Asia/Bangkok]","0.0","0.41"
"Close a task","Close a task with invalid id","SUCCESS","2023-01-20T15:11:32.451+07:00[Asia/Bangkok]","0.0","0.86"
"Close a task","Close a task without authentication","SUCCESS","2023-01-20T15:11:33.321+07:00[Asia/Bangkok]","0.0","0.73"
"Close a task","Close a task with invalid path","SUCCESS","2023-01-20T15:11:34.058+07:00[Asia/Bangkok]","0.0","0.34"
