"Story","Title","Result","Date","Stability","Duration (s)"
"Testing Todoist API for Rename Shared Label Endpoint","Rename shared label with valid label","SUCCESS","2023-01-20T15:11:26.093+07:00[Asia/Bangkok]","0.0","0.81"
"Testing Todoist API for Rename Shared Label Endpoint","Rename shared label with invalid token","SUCCESS","2023-01-20T15:11:27.327+07:00[Asia/Bangkok]","0.0","0.46"
"Testing Todoist API for Rename Shared Label Endpoint","Rename shared label with empty json","SUCCESS","2023-01-20T15:11:27.796+07:00[Asia/Bangkok]","0.0","0.35"
