"Story","Title","Result","Date","Stability","Duration (s)"
"Testing Todoist API for Create New User Endpoint","Create a new label with valid json request","FAILURE","2023-01-20T15:11:14.697+07:00[Asia/Bangkok]","0.0","0.44"
"Testing todoist API for Delete a Label endpoint","Delete a label with invalid id","FAILURE","2023-01-20T15:11:17.732+07:00[Asia/Bangkok]","0.0","0.83"
"Testing todoist API for Remove Shared Label endpoint","Remove Shared Label with invalid label","FAILURE","2023-01-20T15:11:24.856+07:00[Asia/Bangkok]","0.0","0.38"
"Testing Todoist API for Rename Shared Label Endpoint","Rename shared label with invalid label","FAILURE","2023-01-20T15:11:26.921+07:00[Asia/Bangkok]","0.0","0.39"
